Class,GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_C_ptt,ES_N3_A_z3,AC[2]_GOWAWA[0.9;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_pbs,AC[1]_CHOQUET[D;0.75;AO2;0.5]_C_scm,MIC_V_N_scv,MIC_CHOQUET[A;-0.75;AO2;0.0]_U_cdch,ES_N2_U_z3,AC[2]_GOWAWA[0.4;1;ES1-OWA;0.7;0.0;1;ES2-OWA;0.9;0.0]_C_scm,AC[3]_CHOQUET[D;0.5;AO2;0.5]_F_eps,AC[4]_P3_F_pbs,AC[2]_MN_H_bi,AC[3]_MX_A_z1,MIC_GOWAWA[0.1;0;W-OWA;0.1;0.6;2;W-OWA;0.1;0.2]_P_bi,AC[1]_GOWAWA[0.4;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_C_khh,AC[1]_AM_C_hwhh,MIC_GOWAWA[0.1;0;AO1-OWA;1.0;0.0;2;S-OWA;0.8;0.1]_C_eps,GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.3;0.4]_N_ptt,GV[2]_CHOQUET[D;-0.75;AO1;0.9]_B_pah,GV[1]_GOWAWA[1.0;1;AO2-OWA;1.0;0.0;1;NONE;0.0;0.0]_U_gcp1,GV[1]_GOWAWA[0.9;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_U_khh,GV[1]_CHOQUET[D;-0.75;AO2;0.0]_C_isa,GV[2]_CHOQUET[D;-0.75;AO1;0.9]_B_mw,GV[3]_GOWAWA[0.2;2;ES2-OWA;0.9;0.0;2;W-OWA;0.4;0.6]_C_gcp1,GV[3]_HM_B_eps,MIC_GOWAWA[0.1;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_T_khh,GV[2]_GOWAWA[0.7;1;ES1-OWA;0.7;0.0;1;ES2-OWA;0.9;0.0]_B_isa,CHOQUET[D;0.5;AO2;0.9]_C_pbs,MIC_GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.3;0.4]_C_eps,MIC_GOWAWA[0.0;1;NONE;0.0;0.0;1;S-OWA;1.0;0.0]_P_scv,GV[3]_N2_T_z3,GV[3]_GOWAWA[0.4;1;ES1-OWA;0.7;0.0;1;ES2-OWA;0.9;0.0]_C_scv,GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.3;0.4]_C_scv,MIC_GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.2;0.3]_C_z3,GV[3]_GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.2;0.3]_H_gcp1,GOWAWA[0.5;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_N_pie,TS[2]_CHOQUET[A;0.75;AO1;0.9]_T_pie,TS[1]_CHOQUET[D;-0.25;AO2;0.6]_C_scm,ES_TIC_U_hwhh,ES_N2_N_ptt,MIC_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_F_hwhh,GOWAWA[0.3;2;S-OWA;0.6;0.0;2;W-OWA;0.9;1.0]_N_gcp1,TS[1]_P2_C_bi,TS[1]_MX_U_gcp2,TS[3]_CHOQUET[D;-0.25;AO2;0.8]_C_gcp1,TS[2]_GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.2;0.3]_N_cch,MIC_RA_T_cdch,GOWAWA[0.5;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_R_gcp2,MIC_GOWAWA[0.0;1;NONE;0.0;0.0;1;S-OWA;1.0;0.0]_T_khh,GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.7;0.8]_D_pah,MIC_CHOQUET[D;0.5;AO1;0.9]_T_cch,CHOQUET[A;-0.25;AO2;0.8]_C_mw,GOWAWA[0.1;0;AO1-OWA;1.0;0.0;2;S-OWA;0.8;0.1]_H_pah,GOWAWA[0.2;2;S-OWA;0.6;0.0;2;S-OWA;0.8;0.1]_A_mw,GV[2]_GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.2;0.3]_T_pie,GV[7]_HM_H_isa,AC[2]_CHOQUET[D;0.25;AO2;0.5]_F_scv,CHOQUET[A;-0.75;AO2;0.6]_F_khh,ES_N3_T_kh,MIC_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.4;0.5]_A_cdch,AC[3]_GOWAWA[0.2;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_T_pie,TS[7]_HM_T_pie,GV[1]_GOWAWA[0.2;2;ES2-OWA;0.9;0.0;2;W-OWA;0.4;0.6]_T_pie,CHOQUET[D;-0.75;AO1;0.2]_H_pah,AC[4]_AM_C_kh,GOWAWA[0.1;0;AO1-OWA;1.0;0.0;2;S-OWA;0.8;0.1]_P_khh,AC[6]_AM_T_pie,GV[1]_GOWAWA[0.2;2;ES2-OWA;0.9;0.0;2;W-OWA;0.4;0.6]_C_scv,MIC_GOWAWA[0.1;0;AO1-OWA;1.0;0.0;2;S-OWA;0.8;0.1]_P_khh,ES_Q2_T_kh,TS[1]_N2_C_ptt,GOWAWA[0.5;1;ES1-OWA;0.7;0.0;1;ES2-OWA;0.9;0.0]_C_ptt,ESM2_t30_MEAN_57,ESM2_t30_MEAN_418,ESM2_t30_MEAN_122,ESM2_t30_MEAN_214,ESM2_t30_MEAN_356,ESM2_t30_MEAN_354,ESM2_t30_MEAN_624,ESM2_t30_MEAN_244,ESM2_t33_MEAN_189,ESM2_t33_MEAN_753,ESM2_t33_MEAN_179,ESM2_t33_MEAN_201,ESM2_t33_MEAN_837,ESM2_t33_MEAN_826,ESM2_t33_MEAN_844,ESM2_t33_MEAN_784,ESM2_t33_MEAN_1076,ESM2_t33_MEAN_945,ESM2_t33_MEAN_26,ESM2_t33_MEAN_392,ESM2_t33_MEAN_800,ESM2_t33_MEAN_948,ESM2_t33_MEAN_742,ESM2_t33_MEAN_1202,ESM2_t33_MEAN_890,ESM2_t33_MEAN_924,ESM2_t33_MEAN_853,ESM2_t33_MEAN_143,ESM2_t33_MEAN_78,ESM2_t33_MEAN_529,ESM2_t33_MEAN_262,ESM2_t33_MEAN_135,ESM2_t33_MEAN_801,ESM2_t33_MEAN_710,ESM2_t33_MEAN_92,ESM2_t33_MEAN_577,ESM2_t33_MEAN_391,ESM2_t33_MEAN_419,ESM2_t33_MEAN_400,ESM2_t33_MEAN_511,ESM2_t33_MEAN_240,ESM2_t33_MEAN_647,ESM2_t33_MEAN_38,ESM2_t33_MEAN_12,ESM2_t33_MEAN_589,ESM2_t33_MEAN_187,ESM2_t33_MEAN_61,ESM2_t33_MEAN_17,ESM2_t33_MEAN_362,ESM2_t33_MEAN_1172,ESM2_t33_MEAN_1195,ESM2_t33_MEAN_1184,ESM2_t33_MEAN_9,ESM2_t33_MEAN_1190,ESM2_t33_MEAN_1055,ESM2_t33_MEAN_1140
ABP,0.071626692,-3.272244312,0.771021223,0.0,0.02130782,0.206908425,2.890390209,13463.4219,0.0,0.0,-33.5052,11.2711,0.310436999,0.0,0.0,0.37013264,0.033078541,0.0,391.0241435,1.097397871,0.0,0.0,0.0,0.0,0.349536694,0.0,0.003750743,0.361893934,0.311278124,2.503267765,0.0,7.001649085,0.044737901,4.483320039,0.549946025,15.58170703,152.4778941,110.0391,3.672932394,0.266819365,4.486646442,9.230870567,30.24,16.26013413,0.562661971,0.0,16.32415576,0.375,0.270523983,0.468540604,128.4520123,0.403105881,64.93645489,20.53780804,345.3900448,974.2628678,0.04563435,2.27462232,0.115069975,45.43998368,11.90587014,43.30438912,1.39662148,0.05,0.139174252,41.93496667,0.0,0.293616322,-0.154912333,3.509073952,0.612634769,0.267551035,-0.034616288,0.06611038,-0.033981152,0.116664134,-0.161925152,-0.095733926,0.171551555,0.040231496,-0.01318641,-0.071254991,-0.038781919,0.029124647,-0.042331718,-0.068005472,0.062383883,-0.137593597,0.104640827,0.002884745,0.055119216,0.081894785,0.062009685,-0.023739388,-0.027781315,-0.0516272,-0.152328819,-0.047982942,0.057347327,-0.046129905,0.006680138,0.00976079,-0.042373355,-0.064271055,0.039958719,-0.055932816,-0.089730978,-0.105827853,0.068789639,0.064023294,-0.007959075,-0.029538654,0.08449091,0.075646788,-0.003020647,0.001674796,-0.025501229,-0.079649881,-0.060180813,8.12694E-4,0.182953522,0.057575665,-0.05361871,0.099566936,0.148076788,-0.093601301,-0.027418606
ABP,0.041569432,5.64817866,0.822967814,0.0,0.007647845,0.438358144,21.27562,6261.065025,177170.1202,0.608,-8.7168,0.0,0.239428947,0.0,0.0,0.206831962,0.025418658,0.485331812,337.6545479,0.967028275,0.0,9437.965488,0.0,56053.3288,0.347790591,10546.46533,3.35E-4,0.210072723,0.320710672,8.87715753,0.0,5.123905117,0.032723138,3.741603536,0.146228696,13.39820228,141.5889481,128.3819626,2.148695283,0.408131482,4.363523615,9.230870567,209.24,14.42664476,0.764617621,0.016383892,24.77466536,0.482205556,0.015607701,0.227306278,119.2085642,0.531105591,29.21816147,12.89689003,602.2162025,5085.579038,0.024522908,2.697682171,0.0,39.65667643,12.10791197,44.10542751,1.264554101,0.0,0.145879556,37.92605238,0.0,0.301173771,-0.080815972,2.481289987,0.560277859,0.075329885,0.056575153,0.149163648,-0.134668082,0.110149942,-0.090570703,-0.024709476,0.079731889,0.040768642,0.005691612,-0.069888711,0.119434349,-0.013326393,-0.003599913,-0.014062965,9.68504E-4,-0.07064537,-0.002662866,0.073416308,-0.037937969,0.084770553,-3.18707E-4,0.062508926,0.176008567,-0.055744417,-0.067809403,0.113278903,0.097740807,0.02564773,0.161956847,0.052244391,0.096450701,-0.015680211,0.163849935,-0.04661268,-0.03365659,-0.06434723,-0.02834121,0.016460624,0.036299359,-0.090153068,0.076575533,0.008703801,-0.06666854,-0.040403794,0.060565952,-0.049117662,-0.14929001,-0.054666776,0.076968051,2.26772E-4,0.012202481,-0.002169148,0.048183672,-0.035858504,-0.081993774
ABP,0.08962495,-2.98187478,0.0,13628.11781,0.011824386,0.482039382,17.34971217,13083.91134,0.0,0.0,-7.0912,0.0,0.02316625,0.119668783,0.529411765,0.379654826,0.040837705,0.3276,303.9924164,0.957624508,536.6094882,8088.030569,0.0,0.0,0.288067613,4072.230983,6.64E-4,0.399195472,0.151044446,8.799481414,0.0,9.18999641,0.048217972,6.121215365,0.454465164,16.19946088,196.5261435,75.05865003,1.616543137,0.0,4.3897312,15.84036111,209.24,16.72528555,0.045375228,0.174259769,23.43563525,0.2316625,0.022869115,0.288199232,144.5478962,1.303426093,27.76897167,30.09317267,390.1810018,0.0,0.01960842,3.002904909,0.0,44.78452646,13.8379221,54.13125028,1.286544041,0.071428571,0.104368405,52.67049167,2588.619733,0.171336013,-0.224273325,3.218943926,0.602121361,0.160665482,0.153624967,0.175506249,-0.169229344,0.193688303,0.004928969,-0.033368222,0.122801334,0.074607149,-0.092081666,-0.094624668,0.188734353,-0.016077055,0.039448921,-0.087450489,0.068192296,-0.245050251,0.061495211,0.17123957,-0.100433983,0.17812416,-0.077202417,0.090288468,0.277645558,-0.10808631,0.027494991,0.139653385,0.067579366,0.082273461,0.20280987,0.049144287,0.093175955,-0.018131182,0.089963049,-0.168006212,-0.144895956,-0.162867412,9.75014E-4,-0.111282863,-0.011906251,-0.021617889,0.193499669,-0.042380057,-0.054364171,-0.132636011,0.084066018,0.058905296,-0.184060588,-0.085768253,0.125187427,-0.074280821,-0.031005288,-0.046400666,0.00924778,0.041263402,-0.148304939
ABP,0.03881001,-3.44008472,0.772050248,5901.817619,0.00915772,0.129009334,1.768328691,0.0,0.0,0.0,-27.06,11.9436,0.515968324,0.025296464,0.409090909,0.27924044,0.03138106,0.0,390.7002997,1.092,1632.576207,0.0,42.331621,60426.0168,0.293499385,0.0,0.001727731,0.289922214,0.522449505,3.963637553,4040.575707,75.41472115,0.040838794,77.63292941,0.253204354,14.23056903,167.5210202,104.041925,2.096427447,0.119831965,4.372657113,6.19974193,0.0,23.45042127,0.036753935,0.057206501,23.10154998,0.306396692,0.018523983,0.36359375,118.9671507,0.406432278,65.93712323,22.80196212,1084.943395,1050.030059,0.029863529,2.648737484,0.061342062,44.14520885,12.78828469,56.54599411,1.347126916,0.052631579,0.197760358,44.65631765,11164.45838,0.475516648,-0.102714212,3.188761515,0.535298915,0.220975876,-0.093496181,0.141206414,-0.207327053,0.160559788,-0.319616765,-0.009049049,0.185536593,0.151112497,-0.162465557,-0.118107602,-0.015917014,-0.033105891,-0.118935175,-0.215230197,0.106886722,-0.153850034,0.154345572,0.175319999,-0.142773703,0.087180264,-0.017243281,-0.081966616,0.146801487,0.013437307,-0.151103958,0.051754814,0.134548709,0.079248644,0.035262436,0.123421736,-0.1242093,-0.200437233,-0.01804376,-0.121840835,-0.168493539,-0.088055015,0.107878685,0.062339079,-0.148382232,0.072474316,-0.048151646,0.148285747,-0.108071037,-0.036673173,0.098184876,-0.213289887,-0.069195062,-0.142564893,0.171226412,0.107449502,-0.112062953,-0.060474273,0.298972636,-0.181514248,-0.154405713
ABP,0.075547468,3.928316351,0.0,9355.252095,0.0,0.0,1.375539271,0.0,187631.595,0.0,-27.06,11.9436,0.493629148,0.072269716,0.473684211,0.371611153,0.0,0.0,0.0,0.0,950.9707206,0.0,47.80879232,65039.32033,0.344405651,0.0,0.002323156,0.364760262,0.518401392,7.238018809,4613.844355,98.33336822,0.040579163,5.293214555,0.0,15.82457925,183.1535295,80.4385619,0.0,0.070300552,0.0,12.36291522,30.24,25.69613732,0.0,0.126133166,17.48419708,0.332192809,0.022711052,0.271552434,134.3930667,0.370874523,71.32214934,25.34974102,1709.313252,0.0,0.030272329,3.300344103,0.0,55.5727571,14.19245797,67.86237905,1.28597183,0.1875,0.251686567,53.61917857,12724.78371,0.47335889,-0.298136095,3.444648023,0.607799402,0.38078174,-0.259023726,0.17096208,-0.214671612,0.226310447,-0.365006417,0.007614203,0.205052048,0.135550603,-0.208376095,-0.112113617,-0.036818113,-0.043851461,-0.123967744,-0.215678021,0.097345464,-0.184194878,0.155451179,0.213917777,-0.143394768,0.119344585,-0.056402791,-0.091322593,0.152098611,-0.069390334,-0.174272895,0.083058774,0.141262457,0.181062996,0.028887436,0.115281105,-0.059903096,-0.172210783,-0.029854631,-0.183998942,-0.141919121,-0.153572127,0.167319581,0.053813107,-0.168361753,0.089475051,0.048398327,0.152408987,-0.131606191,-0.067031026,0.196514413,-0.192987114,-0.107724659,-0.211026415,0.207185701,0.111929812,-0.19633235,-0.088973276,0.278714806,-0.2211155,-0.246593878
ABP,0.043936534,-3.835865141,0.0,0.0,0.0,0.360964047,6.158472176,7119.544,0.0,0.0,-27.2568,18.6036,0.375535167,0.0,0.0,0.220347774,0.0,0.436860472,270.4588526,1.07402482,0.0,7861.676168,0.0,60322.13873,0.340143556,8163.265991,4.4E-4,0.224311008,0.367067243,2.803127816,0.0,83.72322791,0.034147701,4.054771687,0.0,13.40394139,144.0510754,116.0964047,0.0,0.056537941,0.0,8.850937803,102.38,14.22683816,0.0,0.017692405,65.24858055,0.367067243,0.0,0.0,120.5035011,0.567622563,95.86011162,22.90110366,336.7420045,0.0,0.0,2.992727615,0.110670695,41.4304333,12.39631391,35.36979725,1.359460737,0.0,0.480120166,40.74126316,0.0,0.361248533,-0.085207283,2.660526264,0.564406374,0.178210333,-0.076243959,0.049475916,0.007314818,0.048398312,0.074249811,-0.060957611,0.121411137,0.020301079,-0.016513197,0.232977673,0.044296052,0.083219431,0.042281855,0.011693503,0.004812411,-0.077283755,-0.075569175,-0.054024313,0.014233725,-0.002505286,0.00285231,0.048849788,0.091655254,-0.012939345,-0.119370706,-0.040966213,-0.079898946,0.139319599,-0.001127274,-0.053156022,8.37507E-4,0.078785181,0.12616244,0.081033684,0.122711234,-0.054622248,-0.011477587,-8.95E-5,-0.040745411,-0.263216943,0.017986415,0.00475594,0.01877022,-0.13847746,0.074328706,0.027592806,0.021765338,0.137144938,0.089974992,-0.080326572,0.101618558,0.040510319,0.074668609,-0.04625798,-0.097144477
ABP,0.070084318,3.999844415,0.0,0.0,0.0,0.0,4.093403563,8113.173864,0.0,0.0,0.0,5.4168,0.283852692,0.0,0.0,0.346120185,0.0,0.3731,322.4645178,0.6483834,0.0,5011.405718,11.94718734,75034.58899,0.368223438,1824.444952,6.39E-4,0.356995353,0.271953923,4.322745975,3254.85672,10.21110712,0.04493525,0.0,0.0,15.39980031,164.393891,47.30296891,0.0,0.0,0.0,13.21049961,46.04,21.784953,0.0,0.120733204,24.70072674,0.401050703,0.320539541,0.222287675,140.9424503,0.546156593,53.04704273,27.43637692,0.0,0.0,0.033656816,2.845900197,0.0,49.84830637,14.15576063,48.89109944,1.281624202,0.0,0.485909119,55.586025,0.0,0.38412525,-0.244139135,2.547469332,0.571339104,0.006744754,-0.098836645,0.110329419,-0.004444314,0.213732302,0.06255924,-0.039308634,0.102522738,0.064287983,-0.002810168,0.066868529,0.064486161,0.251295984,0.134199649,-0.022449654,-0.037482198,-0.123759128,-0.065260492,0.030329302,0.034753442,0.109604679,0.067289785,0.092390135,0.090353899,-0.023012901,-0.005410966,0.070248976,-0.093978427,0.035386831,0.045796148,-0.113284372,0.043788586,0.08581917,0.150235802,-0.053212628,0.098674044,-0.118296586,-0.005626405,-0.078737639,0.024645897,-0.146881729,0.116414726,-0.128518701,-0.030836597,0.006688577,0.065404937,0.159111679,-0.027027119,0.004963855,0.094068401,-0.179054305,0.021652604,0.078049444,0.011380571,0.031642638,-0.11517898
ABP,0.049641496,-3.749141575,0.0,5491.454698,0.008738144,0.206908425,4.373051049,0.0,148619.8155,0.693480554,-27.06,11.9436,0.477202051,0.025080701,0.391304348,0.309075233,0.041976669,0.3977,355.1370065,1.29948,1572.193692,5720.496226,41.42574261,59443.65693,0.272354642,2238.552966,0.003029951,0.324015637,0.479116507,4.522981604,2873.345586,94.08185231,0.043865325,4.757577626,0.115806877,14.80237899,164.8740192,110.0391,2.906685237,0.191040104,4.037916271,6.078510583,46.04,18.50461158,0.554483094,0.106844122,80.31256922,0.298746875,0.017573393,0.356231772,120.2972361,0.567245032,63.33392816,20.17229804,1061.756102,0.0,0.041165132,2.907581239,0.0,42.34116386,13.3263718,57.71248977,1.275670141,0.15,0.184740777,46.09930556,11954.05419,0.436296439,-0.081057211,3.465746673,0.559666811,0.384851903,-0.098262958,0.227681518,-0.15483889,0.210120961,-0.322448671,5.25068E-4,0.186907172,0.171366602,-0.196549356,-0.147907853,-0.054609716,-0.008555667,-0.134010956,-0.221137285,0.105735891,-0.13475588,0.190576434,0.107233435,-0.183914453,0.11666628,-0.030727886,-0.041911654,0.074252211,-0.015723176,-0.221753523,0.107108846,0.149775252,0.133176655,0.086378798,0.111948751,-0.03813687,-0.16610235,-0.049822301,-0.112898663,-0.184393927,-0.06682872,0.129584953,0.054759577,-0.165001124,0.088903807,-0.031751923,0.149781033,-0.128671423,-0.091941312,0.13087891,-0.232142136,-0.105595544,-0.098363444,0.143442914,0.085127972,-0.112777159,-0.092753671,0.258821547,-0.162146121,-0.147124752
ABP,0.146703234,-3.182330403,0.0,20932.10666,0.010628215,0.143198479,1.865380977,16498.03693,0.0,0.0,-33.5052,18.6036,0.05,0.229755071,1.894736842,0.516956837,0.036753935,0.0,0.0,0.0,3593.420725,0.0,48.27422196,0.0,0.307268949,0.0,0.05037644,0.518845801,0.360201221,7.774003507,4977.209254,136.3093362,0.052284548,5.250968085,0.263504328,18.60691814,213.7386861,68.4385619,2.110884544,0.070300552,4.381885383,12.37652617,0.0,25.10490022,0.043046721,0.126133166,17.68689629,0.216096405,0.020582203,0.338108841,135.2310546,0.394964169,70.97822558,48.73483269,685.2651197,0.0,0.032210118,2.850750113,0.0,62.12234189,15.34318835,67.88410917,1.313632013,0.375,0.207860846,66.37758571,13105.37636,0.371611153,1.406091157,5.099960784,0.705109212,0.209551007,-0.102944136,0.114594258,-0.114628576,0.260349572,-0.181041822,-0.143620268,0.171479538,0.160179049,-0.002812046,-0.111943126,0.070603326,-0.216849253,-0.03515774,0.002918089,0.053382408,-0.091903448,0.079525918,0.196414977,0.066970021,0.07898733,-0.054855563,0.080536589,0.244222432,-0.13951008,-0.123662189,-0.035090636,-0.013535942,0.194316402,0.051394422,0.036969583,0.015693856,-0.005354375,0.13931106,-0.095299579,-0.157073125,-0.13458997,0.029386116,0.146054119,-0.060331728,-0.007535093,0.067050412,0.044084769,-0.087861933,-0.009907848,0.06231416,-0.019631281,-0.059334058,0.010473593,0.293470919,-0.053455621,-0.063269958,0.074423403,0.16150552,-0.054067612,-0.119149081
ABP,0.136169987,-3.01281571,0.0,15658.6637,0.015851766,0.195621782,2.346989883,7923.16363,0.0,0.0,0.0,11.9436,0.04845257,0.137561116,0.75,0.474164939,0.807590684,0.0,0.0,0.0,1361.3211,0.0,0.0,59030.32365,0.429479479,0.0,0.004895351,0.48701561,0.480891813,4.721525348,0.0,98.92474319,0.047647264,70.40624928,0.23168606,16.43165549,193.863341,38.10571634,2.83932571,0.106594355,4.083826874,13.22002269,53.27,16.8796286,0.698639214,0.099156952,24.53678035,0.48818705,0.0,0.232595109,139.4902288,0.324361066,34.56039349,21.36721348,1509.104057,0.0,0.057376193,2.371108365,0.0,42.82611594,13.52027255,57.78628551,1.270046903,0.222222222,0.213515032,60.19394286,3275.446129,0.453129926,-0.247431129,3.041052449,0.722485626,0.172831506,0.00539862,0.147080928,-0.034804918,0.172934711,-0.07761167,-0.100456469,0.193641528,0.05524167,-0.134555355,-0.074594066,-0.00162289,-0.017248694,-0.057475761,-0.13248004,0.086127348,-0.169045746,-0.003547431,0.198995784,-0.013610088,0.149854675,-0.040647097,-0.08888679,0.187732995,0.023538752,-0.140048966,0.083174363,0.01547147,0.140268981,0.054458763,0.009180628,-0.027476676,-0.121893838,-0.011659589,-0.197216704,-0.064617552,-0.155658796,0.143945202,0.088970132,-0.040346742,-0.086985804,0.061576553,0.063446596,-0.097197041,-0.048241772,0.183973014,-0.122257166,-0.040979136,-0.160742357,0.151768714,-0.007200602,-0.119246505,-0.059829477,0.244752347,-0.166355371,-0.181021571
