ESM1b_AVE_91,ESM1b_AVE_497,ESM1b_AVE_315
0.37144872,0.458764488,0.43824031
0.362293526,0.619454832,0.488808302
0.140615012,0.609261429,0.280284742
0.508086253,0.763260281,0.5226814
0.254078891,0.537629827,0.468355091
0.833465666,0.777121906,0.166538757
0.669883652,0.587970588,0.379169656
0.930500538,0.682212221,0.003912776
0.818852164,0.803345012,0.024004154
0.259876709,0.463011897,0.386480982
0.21467049,0.364027471,0.331454363
0.476360211,0.637786259,0.487813299
0.438120302,0.557090259,0.444270947
0.41579223,0.572510726,0.456606576
0.468667025,0.620283567,0.484215029
0.37090995,0.535511255,0.45164296
0.321310295,0.506384791,0.381314474
0.428056485,0.52532396,0.457745959
0.281178619,0.331334279,0.293305127
0.186010381,0.61702428,0.604196833
0.502545377,0.629477214,0.475503075
0.50834444,0.669333732,0.515315696
0.489690941,0.651405641,0.489541104
0.347935489,0.496964314,0.422785472
0.352493934,0.615239996,0.261373941
0.323670542,0.386726287,0.418092513
0.409297906,0.541663555,0.452940548
0.44274625,0.591242144,0.434955897
0.384689118,0.436010893,0.454753148
0.410643123,0.521834162,0.434929915
0.16861161,0.581377029,0.567649983
0.436141953,0.403313261,0.54370863
0.396660663,0.597658519,0.461964272
0.186533906,0.746916743,0.51990624
0.445681881,0.442111708,0.495359767
0.378054544,0.418992696,0.470911767
0.437064478,0.576089026,0.471745712
0.378954375,0.543912457,0.47815253
0.487177222,0.654511937,0.453396396
0.566790453,0.714150549,0.530197815
0.563710491,0.619290575,0.655794059
0.393662887,0.489698234,0.343224162
0.436610432,0.734216113,0.558638242
0.284150067,0.792401288,0.497738735
0.523066904,0.671578142,0.486712724
0.762764307,0.718114422,0.425699223
0.520184676,0.815702759,0.570236607
0.45475416,0.554342302,0.827857393
0.803679851,0.948826984,0.461920986
0.596584962,0.685858627,0.494685659
0.553009874,0.60046715,0.580354572
0.452105881,0.917303759,0.344195416
0.860220908,0.724628213,0.409685825
0.745617178,0.762847329,0.510073073
0.714222866,0.873000991,0.374553463
0.649862706,0.758676807,0.399501606
0.385580588,0.920301157,0.226077797
0.884157278,0.939380721,0.303453296
0.628333018,0.791273943,0.439948043
0.505207542,0.844780492,0.572309183
0.675883584,0.824536424,0.481533114
0.412450813,0.929193193,0.179712568
0.554238846,0.77639573,0.448611127
0.751434058,0.84363092,0.294977197
0.861997044,0.679829916,0.465676612
0.490865448,0.829826342,0.473851461
0.520300439,0.818503453,0.539733489
0.796496917,0.828611569,0.458782447
0.682968024,0.406672149,0.544704018
0.449469547,0.577693656,0.586922849
0.676008173,0.732631328,0.412687322
0.462797888,0.715255856,0.611356747
0.591253532,0.821914475,0.436080987
0.529525858,0.787094992,0.361700068
0.531356658,0.642501563,0.482698018
0.633491001,0.83867475,0.42265156
0.57354099,0.795028639,0.528840345
0.400857798,0.878529831,0.288341442
0.536527979,0.658502734,0.194739449
0.751528669,0.53409583,0.474521801
0.714483458,0.771018057,0.51497977
0.443405794,0.640466098,0.577625818
0.64802965,0.751742907,0.260397881
0.777644324,0.771430235,0.156496943
0.858300506,0.882661283,0.056664806
0.80944497,0.892906408,0.180446482
0.3688238,0.74956424,0.251177981
0.874481197,0.90955708,0.020308774
0.633192136,0.805240079,0.329042135
0.279804354,0.777030074,0.430457981
0.828005633,0.803823441,0.216445854
0.660434669,0.775647619,0.229757082
0.572919503,0.880641542,0.252964669
0.582775218,0.86222113,0.280782
0.574610119,0.692907888,0.334142261
0.555683187,0.514818552,0.326230538
0.513477106,0.892997931,0.305454198
0.812784496,0.765202762,0.218088129
0.761151281,0.719547352,0.113914804
0.813534985,0.891227571,0.168311847
0.785116584,0.847059197,0.145663179
0.25843557,0.815686313,0.514498249
0.448578924,0.782894227,0.796923921
0.830468819,0.803036674,0.146612112
0.767534371,0.859859694,0.137876471
0.783024478,0.834462493,0.153906676
0.667906049,0.739990068,0.153002454
0.61227899,0.68758653,0.080765737
0.73285357,0.801001656,0.260014042
0.853757374,0.921284337,0.189119521
0.826858714,0.893487508,0.141942314
0.605354725,0.755162169,0.459084926
0.788849271,0.804092658,0.285971308
0.643167281,0.74935176,0.24272653
0.398663233,0.941067919,0.330753956
0.581732151,0.694426243,0.196343923
0.817476704,0.864859113,0.148474024
0.820785323,0.867454793,0.188499505
0.723534502,0.764289686,0.19158992
0.556564022,0.69188194,0.156968133
0.559038175,0.709239005,0.118673528
0.761643168,0.888922665,0.140763447
0.71968401,0.768637438,0.188098391
0.803181244,0.774569201,0.176766753
0.637083222,0.710053246,0.233631236
0.667363165,0.866334915,0.165620373
0.751862954,0.863620531,0.191635675
0.73863085,0.861759956,0.127902492
0.772104693,0.657230725,0.171078511
0.726135267,0.910363373,0.314352553
0.886765127,1,0.522774879
0.566513802,0.746164039,0.355191783
0.814954242,0.521686167,0.35597268
0.7150858,0.849451497,0.2977649
0.696339133,0.672015032,0.270992765
0.620944952,0.692256254,0.065033593
0.628362714,0.730625349,0.174807586
0.555968664,0.543209863,0.26643382
0.682808297,0.72619958,0.19910029
0.730152088,0.815599745,0.087787897
0.583763937,0.570830768,0.074261839
0.436152786,0.936545706,0.49307898
0.601496951,0.686144061,0.119284889
0.752805088,0.756066384,0.265781837
0.796130499,0.887403528,0.230681743
0.653371614,0.675001251,0.191570421
0.670542931,0.718394564,0.23537718
0.469270164,0.694091601,0.214972964
0.738357434,0.756544934,0.222016436
0.527154082,0.770734096,0.136356407
0.669173145,0.661083429,0.348003171
0.773764635,0.779014978,0.197531667
0.565965376,0.539579628,0.117557862
0.639781237,0.602889773,0.219545557
0.711390341,0.749151976,0.151504865
0.55234386,0.640025447,0.302444687
0.702699378,0.734990167,0.23401475
0.757588341,0.745402527,0.189836399
0.501420589,0.766003997,0.270013318
0.685712888,0.731979574,0.241590031
0.588435026,0.752319396,0.112245179
0.671566189,0.695930919,0.301230021
0.503083965,0.700163304,0.09313814
0.600683304,0.6800172,0.123516712
0.706446349,0.727503432,0.278318339
0.76218748,0.737367706,0.22668803
0.622712976,0.719000883,0.277045279
0.633701227,0.715713933,0.344359396
0.863576891,0.584248069,0.368361737
0.613706858,0.777173912,0.294581813
0.6206217,0.686824639,0.260124912
0.688111142,0.765816926,0.182642511
0.690044732,0.66342897,0.097679279
0.672169096,0.67738401,0.229594317
0.524888778,0.638930153,0.074596503
0.627184755,0.658608346,0.118156856
0.728996194,0.761116864,0.310939806
0.563043581,0.75091191,0.342903096
0.753426641,0.721374242,0.19373207
0.427974249,0.709163963,0.366690497
0.585588632,0.712202736,0.296867811
0.410178077,0.629624838,0.174159536
0.675176295,0.774477833,0.265771882
0.568224442,0.662909244,0.227486068
0.693207311,0.790503519,0.261992195
0.683621413,0.749025409,0.125520334
0.654504713,0.697727531,0.136965459
0.699047251,0.7012875,0.337388292
0.499800961,0.634042453,0.402662825
0.51390358,0.636074855,0.275811713
0.804113126,0.674732632,0.219245325
0.406674114,0.739700293,0.36100965
0.482480435,0.64504078,0.15429243
0.642604654,0.699408019,0.337981488
0.451299534,0.668440123,0.243967981
0.684555617,0.731102626,0.263821865
0.574023836,0.802879141,0.115621956
0.653193721,0.727088931,0.095015583
0.655975731,0.686510306,0.210295691
0.69816051,0.735802154,0.296075177
0.677050494,0.72525036,0.218308775
0.70727642,0.598156951,0.225664659
0.573959899,0.620134165,0.118598286
0.708165434,0.746577904,0.279705263
0.79200971,0.646722198,0.164959016
0.814885096,0.895060612,0.168588544
0.595411648,0.660882493,0.208522397
0.541459429,0.743870745,0.096889519
0.639443502,0.642577826,0.231402589
0.697850231,0.640690569,0.277941496
0.608543549,0.649841121,0.304461496
0.60076277,0.715000591,0.299359437
0.644982038,0.681875714,0.147973345
0.665330202,0.858156359,0.169146556
0.519480124,0.676255953,0.236783278
0.619389858,0.732624894,0.254888019
0.722447339,0.688359636,0.164958452
0.638621013,0.678841378,0.16974449
0.662895915,0.688636547,0.256567719
0.721556152,0.810038201,0.229442926
0.476159043,0.722398882,0.440889245
0.780468156,0.62752061,0.528708314
0.324954111,0.410713022,0.454513636
0.700512495,0.793352985,0.485356191
0.4268986,0.547029812,0.501827592
0.313491824,0.577026692,0.343515586
0.342217734,0.362419709,0.114652721
0.154665556,0.701870131,0.578982833
0.269826704,0.453578201,0.332785509
0.113174652,0.318207097,0.20638088
0.27575646,0.394143456,0.212088656
0.152708657,0.547447583,0.2113212
0.19851766,0.656786927,0.700170826
0.18159456,0.496939582,0.407940136
0.142861635,0.324577859,0.223850211
0.289285007,0.452358548,0.287430926
0.476656836,0.483049834,0.348627053
0.352793628,0.681339066,0.569779873
0.322483625,0.436611406,0.444745191
0.513023774,0.532821335,0.538778736
0.549618157,0.306170608,0.39511244
0.51589711,0.693113985,0.402793665
0.466495255,0.717044709,0.455258856
0.15990119,0.635386768,0.329072239
0.443120516,0.700136088,0.411527133
0.387529424,0.492886849,0.311755444
0.452019365,0.697562945,0.448707527
0.226414835,0.741844432,0.360493841
0.476843604,0.626573988,0.473615407
0.543601304,0.248296403,0.43208598
0.558230683,0.200101277,0.440773388
0.279500495,0.83304102,0.4105847
0.325310045,0.472080912,0.319266891
0.688784688,0.50826555,0.820916804
0.562645178,0.612259705,0.589829608
0.476869849,0.705778746,0.562182279
0.039688868,0.302284907,0.342796228
0.432948633,0.538930832,0.767426737
0.536554042,0.699178611,0.597502635
